0,0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95,1,1.05,1.1,1.15,1.2,1.25,1.3,1.35,1.4,1.45,1.5,1.55
0,3,2.361,1.712,1.26,0.974,0.808,0.708,0.63,0.546,0.446,0.332,0.218,0.119,0.056,0.047,0.101,0.224,0.4,0.594,0.768,0.937,0.987,0.98,1.003,0,0,0,0,0,0,0
0,0.093,0.1,0.094,0.075,0.047,0.014,-0.019,-0.048,-0.07,-0.084,-0.089,-0.084,-0.07,-0.05,-0.026,-0.001,0.011,0.016,0.005,-0.002,-0.027,-0.026,-0.006,-0.01,0,0,0,0,0,0,0
1.5,1.087,1.198,1.298,1.393,1.463,1.498,1.506,1.512,1.538,1.585,1.636,1.672,1.679,1.659,1.616,1.567,1.528,1.519,1.507,1.54,1.574,1.476,1.465,1.514,1.5,1.5,1.5,1.5,1.5,1.5,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
